Date Opened,Tail,Description,Date Closed,Task Cost,Total Time
2021-02-20,WMU50 N191JG,  RH white pos light inop,2021-02-24,117.0,6366.4
2020-08-27,WMU50 N191JG,  LH White Position Light Inop.,2020-08-31,70.54,6251.4
2019-12-20,WMU50 N191JG,  RH rear position bulb.,2019-12-23,67.04,6008.2
2019-09-19,WMU50 N191JG,  LH white position light inop,2019-09-25,112.0,5855.8
2019-09-18,WMU50 N191JG,  LH white nav light inop,2019-09-25,112.0,5852.8
2019-09-18,WMU50 N191JG,  lh white position light inop,2019-09-25,55.79,5854.8
2019-09-14,WMU50 N191JG,    white nav light is out on the left side,2019-09-25,74.54,5843.3
2019-09-04,WMU50 N191JG,  L white position light out,2019-09-13,55.79,5822.7
2019-08-08,WMU50 N191JG,    Left position light out,2019-08-08,74.54,5797.8
2019-08-08,WMU50 N191JG,  white position light inop,2019-08-09,55.79,5799.2
2019-08-02,WMU50 N191JG,  l/h white nav light inop,2019-08-02,112.0,5781.4
2019-08-02,WMU50 N191JG,  lh white position light inop,2019-08-02,55.79,5782.1
2019-07-09,WMU50 N191JG,    Right white position light inop,2019-07-10,67.04,5705.8
2019-06-26,WMU50 N191JG,  RH rear position bulb,2019-06-27,67.04,5691.8
2019-06-25,WMU50 N191JG,  RH Srobe light Inop,2019-06-27,289.8,5687.4
2018-12-19,WMU50 N191JG,  LH white nav lite inop,2018-12-20,96.57,5445.3
2018-07-17,WMU50 N191JG,"  White nav light, RH, inop",2018-07-17,96.89,5201.6
2018-06-21,WMU50 N191JG,  LH rear position bulb.,2018-06-29,52.02,5148.7
2018-06-04,WMU50 N191JG,  both white position lights inop,2018-06-07,83.10,5099.3
2017-08-16,WMU50 N191JG,  R white light inop,2017-08-22,97.80,4862.0
2017-08-01,WMU50 N191JG,  L aft nav inop,2017-08-08,60.30,4837.8
2016-10-13,WMU50 N191JG,  R position light out,2016-10-20,97.80,4549.7
2016-09-24,WMU50 N191JG,  LH white position light inop.,2016-09-26,97.80,4509.1
2016-07-19,WMU50 N191JG,  lh white position light inop,2016-07-28,41.55,4406.9
2016-07-08,WMU50 N191JG,"  Right position light out and right strobe flashing once, is supposed to flash four times",2016-07-13,237.8,4377.8
2015-10-14,WMU50 N191JG,  LH white nav light inop..,2015-10-21,50.36,4091.5
2015-09-16,WMU50 N191JG,  Unscheduled squawks for inspection #4,2015-09-28,96.96,4078.0
2015-08-31,WMU50 N191JG,  RH white position light inop. and cover cracked.,2015-09-03,147.7,4037.5
2015-05-27,WMU50 N191JG,    nav light inop,2015-05-28,82.80,3983.2
2014-11-01,WMU50 N191JG,  RH white position light inop.,2014-11-05,82.69,3759.0
2012-10-17,WMU50 N191JG,  LH Nav inop,2012-10-17,82.62,2936.8
2012-07-31,WMU50 N191JG,  RH rear position bulb,2012-07-31,52.49,2845.1
2010-05-25,WMU50 N191JG,  Left nav light out.,2010-05-26,79.76,2054.3
2010-05-06,WMU50 N191JG,  right rear nav light inop,2010-05-06,49.76,2013.9
2009-12-16,WMU50 N191JG,  Right white Nav light inop,2009-12-17,49.73,1795.7
2009-05-11,WMU50 N191JG,  LH white nav lite inop,2009-05-11,80.53,1459.9
2008-08-07,WMU50 N191JG,  Right wingtip amber nav light out.,2008-08-08,66.60,1060.4
2008-03-12,WMU50 N191JG,  Left nav. light off.,2008-03-13,81.60,39.884
2021-08-27,WMU56 N91SA,  nav light inop,2021-08-30,79.49,175.89
2021-07-20,WMU56 N91SA,  R position light inop,2021-07-26,116.9,102.48
2021-06-17,WMU56 N91SA,  wht pos light inop LH,2021-06-23,79.49,046.48
2021-03-15,WMU56 N91SA,  R position light inop,2021-03-15,116.9,865.06
2021-01-21,WMU56 N91SA,    position light inop,2021-01-22,117.0,761.55
2020-10-30,WMU56 N91SA,  Right white position lens cracked,2020-10-30,149.3,648.64
2020-10-05,WMU56 N91SA,  left white position light inop,2020-10-07,58.97,591.33
2020-10-05,WMU56 N91SA,  white position light inop,2020-10-07,58.88,591.33
2020-09-22,WMU56 N91SA,  LH white position light out.,2020-09-22,70.40,560.33
2020-09-11,WMU56 N91SA,  R wing light out,2020-09-17,115.5,515.93
2020-08-31,WMU56 N91SA,  R position light inop,2020-08-31,115.6,500.12
2019-12-17,WMU56 N91SA,  LH position light out,2019-12-19,172.0,235.01
2019-12-13,WMU56 N91SA,  rear pos light inop,2019-12-16,74.54,231.11
2019-10-15,WMU56 N91SA,  Left position light out.,2019-10-15,67.04,214.42
2019-10-14,WMU56 N91SA,  LH white position light inop,2019-10-16,74.54,213.72
2019-10-04,WMU56 N91SA,  LH rear position light inop,2019-10-07,74.54,203.92
2019-09-16,WMU56 N91SA,  left position light out,2019-09-18,55.79,185.92
2019-09-05,WMU56 N91SA,  LH position light inop,2019-09-13,74.54,165.42
2019-07-29,WMU56 N91SA,    Right side Pos light inop,2019-07-29,74.54,086.02
2019-07-27,WMU56 N91SA,  l/h nav light out,2019-07-29,112.0,084.22
2019-06-10,WMU56 N91SA,  left white nav light inop,2019-06-17,74.54,952.01
2019-06-08,WMU56 N91SA,    left nav light inop,2019-06-17,97.04,948.71
2019-06-05,WMU56 N91SA,  LH white position light out,2019-06-05,47.16,935.41
2019-06-04,WMU56 N91SA,  left white nav light out,2019-06-04,46.90,932.01
2019-05-28,WMU56 N91SA,  RH White Nav light out,2019-05-30,69.16,928.61
2018-11-20,WMU56 N91SA,  Unscheduled squawks for inspection #4,2018-11-29,543.3,685.41
2018-11-08,WMU56 N91SA,  RH white position light inop.,2018-11-20,81.52,673.51
2018-11-01,WMU56 N91SA,  right white nav inop,2018-11-02,40.47,661.61
