Date Opened,Tail,Description,Date Closed,Task Cost,Total Time
2021-03-19,WMU50 N191JG,Flaps inop,2021-03-29,102.7,6432.5
2021-03-09,WMU50 N191JG,  Flaps will not return to the up position,2021-03-09,43.86,6418.0
2020-02-05,WMU50 N191JG,Flaps wont retract,2020-02-12,27.20,6062.1
2019-04-02,WMU50 N191JG,  Unable to retract flaps,2019-04-15,79.36,5537.8
2018-09-27,WMU50 N191JG,  flaps wont come up,2018-09-29,39.25,5348.1
2018-04-20,WMU50 N191JG,flaps wont retract,2018-04-23,39.25,5007.6
2017-08-24,WMU50 N191JG,  flaps would not retract,2017-08-29,95.50,4871.5
2017-05-08,WMU50 N191JG,  Flap over speed notification went off.,2017-05-10,95.50,4692.1
2017-02-22,WMU50 N191JG,Unscheduled squawks for Break-In Oil Change,2017-02-22,178.0,4648.9
2015-11-20,WMU50 N191JG,  Flap Issue,2015-11-23,108.1,4140.3
2015-05-07,WMU50 N191JG,Flaps will not retract,2015-05-13,70.66,3949.1
2014-07-17,WMU50 N191JG,  Flaps Stuck @ 100%,2014-07-18,114.0,3636.1
2014-02-28,WMU50 N191JG,  flaps wont move,2014-02-28,69.06,3427.1
2013-09-16,WMU50 N191JG,  Flaps stuck,2013-09-16,149.2,3282.4
2013-05-15,WMU50 N191JG,  flap overspeed and close to time out.,2013-05-16,59.26,3141.3
2012-10-10,WMU50 N191JG,  flaps to 100% wont go back up,2012-10-11,89.26,2930.2
2012-05-10,WMU50 N191JG,Flaps will not retract,2012-05-16,59.26,2724.7
2010-05-15,WMU50 N191JG,Stuck flaps,2010-05-17,94.64,2026.7
2010-01-21,WMU50 N191JG,Flap limit switch sticking. Flaps take abnormal amount of time to go to 100%.,2010-02-02,94.64,1812.9
2008-06-14,WMU50 N191JG,"Before flight, and while completing the before taxi checklist the flaps would not fully retract to zero degrees.",2008-06-14,59.26,84.298
2008-05-12,WMU50 N191JG,Flaps not coming up,2008-05-12,59.26,98.889
2021-09-25,WMU56 N91SA,"  after landing, flaps inop",2021-09-29,64.22,240.11
2021-03-25,WMU56 N91SA,"flaps wouldn't come down to 100% when selected, then would come down ater",2021-03-25,"3,089",898.66
2021-02-17,WMU56 N91SA,  flap failure,2021-02-26,102.7,820.76
2021-01-23,WMU56 N91SA,  flaps won't go up,2021-01-27,102.7,768.45
2020-10-27,WMU56 N91SA,  flaps would not extend on approach,2020-10-29,102.7,635.64
2020-03-16,WMU56 N91SA,  Flaps Stuck at 50%,2020-03-16,92.20,349.41
2020-01-08,WMU56 N91SA,  flaps inoperative,2020-01-09,58.00,245.73
2019-08-31,WMU56 N91SA,  Flaps won't retract,2019-09-03,94.24,156.02
2019-08-09,WMU56 N91SA,Flaps wont retract,2019-08-09,56.30,121.42
2019-06-14,WMU56 N91SA,Flaps would not lower,2019-06-17,56.48,970.91
2019-06-11,WMU56 N91SA,  Flaps won't come back up,2019-06-17,56.62,959.21
2019-05-14,WMU56 N91SA,Flaps stuck between 50 and up. Will not raise past.,2019-05-20,94.70,890.51
2019-01-22,WMU56 N91SA,  Flaps inop,2019-01-29,80.50,725.41
2019-01-14,WMU56 N91SA,  Flaps Inop,2019-01-17,85.25,712.81
2018-04-19,WMU56 N91SA,Flaps inop,2018-04-23,58.00,383.71
2017-03-09,WMU56 N91SA,Flaps would not go down,2017-03-10,155.5,827.68
2015-03-18,WMU56 N91SA,  Flaps,2015-03-24,89.41,013.52
2014-02-27,WMU56 N91SA,Flaps wont deploy.,2014-02-28,114.0,602.11
2012-04-03,WMU56 N91SA,flap retraction difficulties,2012-04-04,59.26,817.38
2011-05-11,WMU56 N91SA,  flaps stuck on landing,2011-05-16,74.80,525.45
2009-06-01,WMU56 N91SA,Unscheduled Inspection Squawks #2(final),2009-06-10,125.3,592.31
2009-03-30,WMU56 N91SA,flaps do not work,2009-03-30,59.26,499.81
2008-03-05,WMU56 N91SA,  Flaps Would Not Retract,2008-03-05,59.26,4.9814
2007-11-02,WMU56 N91SA,Flaps would not extend.,2007-11-02,59.26,2.0692
2022-03-01,WMU58 N173WM,  flap malfunction,2022-03-08,102.5,3702.8
2021-09-09,WMU58 N173WM,  flaps are stuck down,2021-09-29,86.66,3502.8
2021-05-05,WMU58 N173WM,  flaps stuck at 100 after landing,2021-05-05,86.66,3502.8
2020-08-27,WMU58 N173WM,  flaps wont retract,2020-08-31,99.12,2937.3
2020-03-17,WMU58 N173WM,flaps stuck down,2020-03-19,36.47,2810.0
2019-12-20,WMU58 N173WM,  flaps would not retract,2019-12-20,80.50,2707.2
2019-02-21,WMU58 N173WM,Flap will not retract from full down.,2019-02-21,86.50,2413.7
2018-04-25,WMU58 N173WM,Flaps won't retract.,2018-04-25,122.7,2179.1
