Resource Type,Resource,Description of Work,Date Opened,Date Closed
SR-20,WMU50 N191JG,·  RH white pos light inop,2021-02-20,2021-02-24
SR-20,WMU50 N191JG,·  LH White Position Light Inop.,2020-08-27,2020-08-31
SR-20,WMU50 N191JG,·  RH rear position bulb.,2019-12-20,2019-12-23
SR-20,WMU50 N191JG,·  LH white position light inop,2019-09-19,2019-09-25
SR-20,WMU50 N191JG,·  LH white nav light inop,2019-09-18,2019-09-25
SR-20,WMU50 N191JG,·  lh white position light inop,2019-09-18,2019-09-25
SR-20,WMU50 N191JG,·  ETA squawk: white nav light is out on the left side,2019-09-14,2019-09-25
SR-20,WMU50 N191JG,·  L white position light out,2019-09-04,2019-09-13
SR-20,WMU50 N191JG,·  ETA squawk: Left position light out,2019-08-08,2019-08-08
SR-20,WMU50 N191JG,·  white position light inop,2019-08-08,2019-08-09
SR-20,WMU50 N191JG,·  l/h white nav light inop,2019-08-02,2019-08-02
SR-20,WMU50 N191JG,·  lh white position light inop,2019-08-02,2019-08-02
SR-20,WMU50 N191JG,·  ETA squawk: Right white position light inop,2019-07-09,2019-07-10
SR-20,WMU50 N191JG,·  RH rear position bulb,2019-06-26,2019-06-27
SR-20,WMU50 N191JG,·  RH Srobe light Inop,2019-06-25,2019-06-27
SR-20,WMU50 N191JG,·  LH white nav lite inop,2018-12-19,2018-12-20
SR-20,WMU50 N191JG,"·  White nav light, RH, inop",2018-07-17,2018-07-17
SR-20,WMU50 N191JG,·  LH rear position bulb.,2018-06-21,2018-06-29
SR-20,WMU50 N191JG,·  both white position lights inop,2018-06-04,2018-06-07
SR-20,WMU50 N191JG,·  R white light inop,2017-08-16,2017-08-22
SR-20,WMU50 N191JG,·  L aft nav inop,2017-08-01,2017-08-08
SR-20,WMU50 N191JG,·  R position light out,2016-10-13,2016-10-20
SR-20,WMU50 N191JG,·  LH white position light inop.,2016-09-24,2016-09-26
SR-20,WMU50 N191JG,·  lh white position light inop,2016-07-19,2016-07-28
SR-20,WMU50 N191JG,"·  Right position light out and right strobe flashing once, is supposed to flash four times",2016-07-08,2016-07-13
SR-20,WMU50 N191JG,·  LH white nav light inop..,2015-10-14,2015-10-21
SR-20,WMU50 N191JG,·  Unscheduled squawks for inspection #4,2015-09-16,2015-09-28
SR-20,WMU50 N191JG,·  RH white position light inop. and cover cracked.,2015-08-31,2015-09-03
SR-20,WMU50 N191JG,·  ETA squawk: nav light inop,2015-05-27,2015-05-28
SR-20,WMU50 N191JG,·  RH white position light inop.,2014-11-01,2014-11-05
SR-20,WMU50 N191JG,·  LH Nav inop,2012-10-17,2012-10-17
SR-20,WMU50 N191JG,·  RH rear position bulb,2012-07-31,2012-07-31
SR-20,WMU50 N191JG,·  Left nav light out.,2010-05-25,2010-05-26
SR-20,WMU50 N191JG,·  right rear nav light inop,2010-05-06,2010-05-06
SR-20,WMU50 N191JG,·  Right white Nav light inop,2009-12-16,2009-12-17
SR-20,WMU50 N191JG,·  LH white nav lite inop,2009-05-11,2009-05-11
SR-20,WMU50 N191JG,·  Right wingtip amber nav light out.,2008-08-07,2008-08-08
SR-20,WMU50 N191JG,·  Left nav. light off.,2008-03-12,2008-03-13
SR-20,WMU56 N91SA,·  nav light inop,2021-08-27,2021-08-30
SR-20,WMU56 N91SA,·  R position light inop,2021-07-20,2021-07-26
SR-20,WMU56 N91SA,·  wht pos light inop LH,2021-06-17,2021-06-23
SR-20,WMU56 N91SA,·  R position light inop,2021-03-15,2021-03-15
SR-20,WMU56 N91SA,·  ETA squawk: position light inop,2021-01-21,2021-01-22
SR-20,WMU56 N91SA,·  Right white position lens cracked,2020-10-30,2020-10-30
SR-20,WMU56 N91SA,·  left white position light inop,2020-10-05,2020-10-07
SR-20,WMU56 N91SA,·  white position light inop,2020-10-05,2020-10-07
SR-20,WMU56 N91SA,·  LH white position light out.,2020-09-22,2020-09-22
SR-20,WMU56 N91SA,·  R wing light out,2020-09-11,2020-09-17
SR-20,WMU56 N91SA,·  R position light inop,2020-08-31,2020-08-31
SR-20,WMU56 N91SA,·  LH position light out,2019-12-17,2019-12-19
SR-20,WMU56 N91SA,·  rear pos light inop,2019-12-13,2019-12-16
SR-20,WMU56 N91SA,·  Left position light out.,2019-10-15,2019-10-15
SR-20,WMU56 N91SA,·  LH white position light inop,2019-10-14,2019-10-16
SR-20,WMU56 N91SA,·  LH rear position light inop,2019-10-04,2019-10-07
SR-20,WMU56 N91SA,·  left position light out,2019-09-16,2019-09-18
SR-20,WMU56 N91SA,·  LH position light inop,2019-09-05,2019-09-13
SR-20,WMU56 N91SA,·  ETA squawk: Right side Pos light inop,2019-07-29,2019-07-29
SR-20,WMU56 N91SA,·  l/h nav light out,2019-07-27,2019-07-29
SR-20,WMU56 N91SA,·  left white nav light inop,2019-06-10,2019-06-17
SR-20,WMU56 N91SA,·  ETA squawk: left nav light inop,2019-06-08,2019-06-17
SR-20,WMU56 N91SA,·  LH white position light out,2019-06-05,2019-06-05
SR-20,WMU56 N91SA,·  left white nav light out,2019-06-04,2019-06-04
SR-20,WMU56 N91SA,·  RH White Nav light out,2019-05-28,2019-05-30
SR-20,WMU56 N91SA,·  Unscheduled squawks for inspection #4,2018-11-20,2018-11-29
SR-20,WMU56 N91SA,·  RH white position light inop.,2018-11-08,2018-11-20
SR-20,WMU56 N91SA,·  right white nav inop,2018-11-01,2018-11-02
SR-20,WMU56 N91SA,·  RH white position light inop,2018-08-30,2018-08-31
SR-20,WMU56 N91SA,·  white nav light inop,2018-05-16,2018-05-21
SR-20,WMU56 N91SA,·  right white pos light out,2018-04-02,2018-04-09
SR-20,WMU56 N91SA,·  RH White position light inop,2017-11-06,2017-11-20
SR-20,WMU56 N91SA,·  Left rear position bulb.,2017-08-30,2017-08-31
SR-20,WMU56 N91SA,·  RH position light inop  Starter cranking slow,2017-05-24,2017-05-30
SR-20,WMU56 N91SA,·  RH white position light in-op,2017-02-20,2017-02-22
SR-20,WMU56 N91SA,·  ETA squawk: Low Oil Press  RH aft nav light inop,2017-01-14,2017-01-17
SR-20,WMU56 N91SA,·  Left Position light out,2016-11-22,2016-11-29
SR-20,WMU56 N91SA,·  RH White Position Light Inop,2016-06-25,2016-06-27
SR-20,WMU56 N91SA,·  L position light inop,2015-10-23,2015-10-27
SR-20,WMU56 N91SA,·  RH Nav Light inop,2015-10-21,2015-10-21
SR-20,WMU56 N91SA,·  Left and right strobe light out,2015-06-04,2015-06-09
SR-20,WMU56 N91SA,·  RH white aft nav light out,2015-06-01,2015-06-02
SR-20,WMU56 N91SA,·  R nav light out,2015-05-28,2015-05-29
SR-20,WMU56 N91SA,·  RH wing white position light inop.,2015-05-06,2015-05-13
SR-20,WMU56 N91SA,·  Left white position light inop.,2014-05-12,2014-05-12
SR-20,WMU56 N91SA,·  rh white nav light out,2014-05-08,2014-05-08
SR-20,WMU56 N91SA,·  RH strobe and white position light inop.,2014-05-06,2014-05-08
SR-20,WMU56 N91SA,·  Left wingtip position light out,2014-01-13,2014-01-13
SR-20,WMU56 N91SA,·  Left aft nav light burnt out,2013-09-04,2013-09-05
SR-20,WMU56 N91SA,·  LH NAV LIGHT,2013-06-14,2013-06-17
SR-20,WMU56 N91SA,·  Left white nav out,2013-02-20,2013-02-22
SR-20,WMU56 N91SA,·  Right white position light inop.,2012-03-26,2012-03-26
SR-20,WMU56 N91SA,·  RH nav light inop.,2012-01-18,2012-01-20
SR-20,WMU56 N91SA,·  left marker light inop,2010-07-14,2010-07-14
SR-20,WMU56 N91SA,·  RHR POS LIGHT INOP,2010-03-30,2010-03-30
SR-20,WMU56 N91SA,·  R Nav light out,2009-01-20,2009-01-21
SR-20,WMU58 N173WM,·  R NAV light inop,2021-11-09,2021-11-10
SR-20,WMU58 N173WM,·  RH white position light inop,2021-10-29,2021-10-29
SR-20,WMU58 N173WM,·  l nav light out,2021-09-11,2021-09-24
SR-20,WMU58 N173WM,·  LH position light inop and ailerons hard to move will not center,2021-03-06,2021-03-09
SR-20,WMU58 N173WM,·  LH white position bulb inop,2020-09-10,2020-09-17
SR-20,WMU58 N173WM,·  Nav light out,2020-08-19,2020-08-21
SR-20,WMU58 N173WM,·  LH white postion light inop,2019-12-07,2019-12-10
SR-20,WMU58 N173WM,·  Left aft navigation light bulb is inoperative.,2018-09-13,2018-09-13
SR-20,WMU58 N173WM,·  LH white nav light inop,2018-02-12,2018-02-13
