Resource Type,Resource,Description of Work,Date Opened,Date Closed
SR-20,WMU50 N191JG,Flaps inop,2021-03-19,2021-03-29
SR-20,WMU50 N191JG,ETA squawk: Flaps will not return to the up position,2021-03-09,2021-03-09
SR-20,WMU50 N191JG,Flaps wont retract,2020-02-05,2020-02-12
SR-20,WMU50 N191JG,ETA squawk: Unable to retract flaps,2019-04-02,2019-04-15
SR-20,WMU50 N191JG,ETA squawk: flaps wont come up,2018-09-27,2018-09-29
SR-20,WMU50 N191JG,flaps wont retract,2018-04-20,2018-04-23
SR-20,WMU50 N191JG,ETA squawk: flaps would not retract,2017-08-24,2017-08-29
SR-20,WMU50 N191JG,ETA squawk: Flap over speed notification went off.,2017-05-08,2017-05-10
SR-20,WMU50 N191JG,Unscheduled squawks for Break-In Oil Change,2017-02-22,2017-02-22
SR-20,WMU50 N191JG,ETA squawk: Flap Issue,2015-11-20,2015-11-23
SR-20,WMU50 N191JG,Flaps will not retract,2015-05-07,2015-05-13
SR-20,WMU50 N191JG,ETA squawk: Flaps Stuck @ 100%,2014-07-17,2014-07-18
SR-20,WMU50 N191JG,ETA squawk: flaps wont move,2014-02-28,2014-02-28
SR-20,WMU50 N191JG,ETA squawk: Flaps stuck,2013-09-16,2013-09-16
SR-20,WMU50 N191JG,ETA squawk: flap overspeed and close to time out.,2013-05-15,2013-05-16
SR-20,WMU50 N191JG,ETA squawk: flaps to 100% wont go back up,2012-10-10,2012-10-11
SR-20,WMU50 N191JG,Flaps will not retract,2012-05-10,2012-05-16
SR-20,WMU50 N191JG,Stuck flaps,2010-05-15,2010-05-17
SR-20,WMU50 N191JG,Flap limit switch sticking. Flaps take abnormal amount of time to go to 100%.,2010-01-21,2010-02-02
SR-20,WMU50 N191JG,"Before flight, and while completing the before taxi checklist the flaps would not fully retract to zero degrees.",2008-06-14,2008-06-14
SR-20,WMU50 N191JG,Flaps not coming up,2008-05-12,2008-05-12
SR-20,WMU56 N91SA,"ETA squawk: after landing, flaps inop",2021-09-25,2021-09-29
SR-20,WMU56 N91SA,"flaps wouldn't come down to 100% when selected, then would come down ater",2021-03-25,2021-03-25
SR-20,WMU56 N91SA,ETA squawk: flap failure,2021-02-17,2021-02-26
SR-20,WMU56 N91SA,ETA squawk: flaps won't go up,2021-01-23,2021-01-27
SR-20,WMU56 N91SA,ETA squawk: flaps would not extend on approach,2020-10-27,2020-10-29
SR-20,WMU56 N91SA,ETA squawk: Flaps Stuck at 50%,2020-03-16,2020-03-16
SR-20,WMU56 N91SA,ETA squawk: flaps inoperative,2020-01-08,2020-01-09
SR-20,WMU56 N91SA,ETA squawk: Flaps won't retract,2019-08-31,2019-09-03
SR-20,WMU56 N91SA,Flaps wont retract,2019-08-09,2019-08-09
SR-20,WMU56 N91SA,Flaps would not lower,2019-06-14,2019-06-17
SR-20,WMU56 N91SA,ETA squawk: Flaps won't come back up,2019-06-11,2019-06-17
SR-20,WMU56 N91SA,Flaps stuck between 50 and up. Will not raise past.,2019-05-14,2019-05-20
SR-20,WMU56 N91SA,ETA squawk: Flaps inop,2019-01-22,2019-01-29
SR-20,WMU56 N91SA,ETA squawk: Flaps Inop,2019-01-14,2019-01-17
SR-20,WMU56 N91SA,Flaps inop,2018-04-19,2018-04-23
SR-20,WMU56 N91SA,Flaps would not go down,2017-03-09,2017-03-10
SR-20,WMU56 N91SA,ETA squawk: Flaps,2015-03-18,2015-03-24
SR-20,WMU56 N91SA,Flaps wont deploy.,2014-02-27,2014-02-28
SR-20,WMU56 N91SA,flap retraction difficulties,2012-04-03,2012-04-04
SR-20,WMU56 N91SA,ETA squawk: flaps stuck on landing,2011-05-11,2011-05-16
SR-20,WMU56 N91SA,Unscheduled Inspection Squawks #2(final),2009-06-01,2009-06-10
SR-20,WMU56 N91SA,flaps do not work,2009-03-30,2009-03-30
SR-20,WMU56 N91SA,ETA squawk: Flaps Would Not Retract,2008-03-05,2008-03-05
SR-20,WMU56 N91SA,Flaps would not extend.,2007-11-02,2007-11-02
SR-20,WMU58 N173WM,ETA squawk: flap malfunction,2022-03-01,2022-03-08
SR-20,WMU58 N173WM,ETA squawk: flaps are stuck down,2021-09-09,2021-09-29
SR-20,WMU58 N173WM,ETA squawk: flaps stuck at 100 after landing,2021-05-05,2021-05-05
SR-20,WMU58 N173WM,ETA squawk: flaps wont retract,2020-08-27,2020-08-31
SR-20,WMU58 N173WM,flaps stuck down,2020-03-17,2020-03-19
SR-20,WMU58 N173WM,ETA squawk: flaps would not retract,2019-12-20,2019-12-20
SR-20,WMU58 N173WM,Flap will not retract from full down.,2019-02-21,2019-02-21
SR-20,WMU58 N173WM,Flaps won't retract.,2018-04-25,2018-04-25
